Time,OLR,VFA,Alk,VFA/Alk,Biogas Production,Biogas Yield,VSRem
1.0,0.629,643.0,16200.0,0.04,16.0,0.73,70.0
5.0,0.5710000000000001,643.0,16200.0,0.04,15.0,0.75,70.0
7.0,0.6,766.0,17200.0,0.045,16.0,0.76,57.1
12.0,0.6,842.0,17800.0,0.047,16.0,0.76,57.3
14.0,0.5710000000000001,948.0,17800.0,0.053,16.0,0.8,49.6
19.0,0.457,857.0,17200.0,0.05,16.0,1.0,44.0
21.0,0.514,795.0,17800.0,0.045,16.0,0.89,56.4
26.0,0.5710000000000001,503.0,17500.0,0.028999999999999998,16.0,0.8,49.6
33.0,0.5710000000000001,1244.0,17200.0,0.07200000000000001,16.0,0.8,52.4
35.0,0.5429999999999999,1534.0,17400.0,0.08800000000000001,15.0,0.79,49.9
40.0,0.457,1604.0,19200.0,0.084,17.0,1.06,54.5
42.0,0.5429999999999999,1479.0,19300.0,0.077,16.0,0.84,61.7
47.0,0.457,954.0,20100.0,0.047,16.0,1.0,47.5
49.0,0.429,847.0,19400.0,0.044000000000000004,16.0,1.07,44.0
55.0,0.629,1032.0,20600.0,0.05,16.0,0.73,56.7
56.0,0.6,1108.0,20700.0,0.054000000000000006,15.0,0.71,62.7
61.0,0.629,909.0,20700.0,0.044000000000000004,16.0,0.73,61.8
63.0,0.677,574.0,21700.0,0.026000000000000002,19.0,0.82,59.8
68.0,0.677,786.0,20800.0,0.038,21.0,0.89,53.9
70.0,0.583,707.0,21200.0,0.033,28.0,1.37,55.0
77.0,0.6709999999999999,714.0,22200.0,0.032,20.0,0.83,50.9
82.0,0.5770000000000001,891.0,23000.0,0.039,16.0,0.81,58.1
89.0,0.763,1002.0,23200.0,0.043,25.0,0.93,51.3
91.0,0.68,1167.0,22800.0,0.051,25.0,1.04,54.4
96.0,0.591,1174.0,23900.0,0.049,24.0,1.18,59.4
98.0,0.5,1152.0,23200.0,0.05,21.0,1.19,47.8
103.0,0.7509999999999999,811.0,23700.0,0.034,20.0,0.78,62.5
105.0,0.41700000000000004,706.0,23600.0,0.03,21.0,1.43,44.8
110.0,0.9309999999999999,513.0,23300.0,0.022000000000000002,19.0,0.6,65.3
112.0,0.42,516.0,23000.0,0.022000000000000002,17.0,1.17,45.9
117.0,0.7659999999999999,500.0,23100.0,0.022000000000000002,18.0,0.67,57.6
119.0,0.606,460.0,22700.0,0.02,18.0,0.84,46.6
124.0,0.537,479.0,21900.0,0.022000000000000002,17.0,0.91,41.3
126.0,0.47100000000000003,507.0,21600.0,0.023,17.0,1.04,42.0
131.0,0.5489999999999999,503.0,21500.0,0.023,20.0,1.05,60.3
133.0,0.451,497.0,21400.0,0.023,20.0,1.28,41.5
138.0,0.446,610.0,24200.0,0.025,21.0,1.32,50.1
140.0,0.387,688.0,23600.0,0.028999999999999998,18.0,1.31,47.6
145.0,0.474,714.0,21700.0,0.033,20.0,1.2,51.1
147.0,0.469,558.0,19600.0,0.027999999999999997,21.0,1.26,50.8
152.0,0.466,679.0,21400.0,0.032,19.0,1.17,44.3
154.0,0.44,560.0,21100.0,0.027000000000000003,17.0,1.13,63.6
161.0,0.27699999999999997,630.0,20200.0,0.031,19.0,1.92,33.0
166.0,0.3,128.0,3300.0,0.039,17.0,1.62,34.4
168.0,0.271,151.0,5700.0,0.026000000000000002,17.0,1.82,52.8
174.0,0.331,450.0,18800.0,0.024,17.0,1.45,45.4
175.0,0.38299999999999995,385.0,19600.0,0.02,15.0,1.12,58.6
180.0,0.491,154.0,5500.0,0.027999999999999997,17.0,0.96,49.9
182.0,0.469,151.0,6400.0,0.024,16.0,0.99,46.4
187.0,0.546,459.0,18900.0,0.024,17.0,0.9,56.3
189.0,0.537,433.0,18600.0,0.023,16.0,0.86,59.8
194.0,0.7659999999999999,597.0,20400.0,0.028999999999999998,21.0,0.78,65.3
196.0,0.4370000000000001,610.0,20500.0,0.03,17.0,1.11,58.6
203.0,0.569,676.0,20200.0,0.033,23.0,1.16,60.6
209.0,0.574,676.0,20200.0,0.033,20.0,0.99,57.4
210.0,0.754,676.0,20200.0,0.033,24.0,0.9,59.5
