Time,OLR,VFA,Alk,VFA/Alk,Biogas Production,Biogas Yield,VSRem
1,0.629,643,16200,0.04,16,0.73,70.0
5,0.5710000000000001,643,16200,0.04,15,0.75,70.0
7,0.6,766,17200,0.045,16,0.76,57.1
12,0.6,842,17800,0.047,16,0.76,57.3
14,0.5710000000000001,948,17800,0.053,16,0.8,49.6
19,0.457,857,17200,0.05,16,1.0,44.0
21,0.514,795,17800,0.045,16,0.89,56.4
26,0.5710000000000001,503,17500,0.028999999999999998,16,0.8,49.6
33,0.5710000000000001,1244,17200,0.07200000000000001,16,0.8,52.4
35,0.5429999999999999,1534,17400,0.08800000000000001,15,0.79,49.9
40,0.457,1604,19200,0.084,17,1.06,54.5
42,0.5429999999999999,1479,19300,0.077,16,0.84,61.7
47,0.457,954,20100,0.047,16,1.0,47.5
49,0.429,847,19400,0.044000000000000004,16,1.07,44.0
55,0.629,1032,20600,0.05,16,0.73,56.7
56,0.6,1108,20700,0.054000000000000006,15,0.71,62.7
61,0.629,909,20700,0.044000000000000004,16,0.73,61.8
63,0.677,574,21700,0.026000000000000002,19,0.82,59.8
68,0.677,786,20800,0.038,21,0.89,53.9
70,0.583,707,21200,0.033,28,1.37,55.0
77,0.6709999999999999,714,22200,0.032,20,0.83,50.9
82,0.5770000000000001,891,23000,0.039,16,0.81,58.1
89,0.763,1002,23200,0.043,25,0.93,51.3
91,0.68,1167,22800,0.051,25,1.04,54.4
96,0.591,1174,23900,0.049,24,1.18,59.4
98,0.5,1152,23200,0.05,21,1.19,47.8
103,0.7509999999999999,811,23700,0.034,20,0.78,62.5
105,0.41700000000000004,706,23600,0.03,21,1.43,44.8
110,0.9309999999999999,513,23300,0.022000000000000002,19,0.6,65.3
112,0.42,516,23000,0.022000000000000002,17,1.17,45.9
117,0.7659999999999999,500,23100,0.022000000000000002,18,0.67,57.6
119,0.606,460,22700,0.02,18,0.84,46.6
124,0.537,479,21900,0.022000000000000002,17,0.91,41.3
126,0.47100000000000003,507,21600,0.023,17,1.04,42.0
131,0.5489999999999999,503,21500,0.023,20,1.05,60.3
133,0.451,497,21400,0.023,20,1.28,41.5
138,0.446,610,24200,0.025,21,1.32,50.1
140,0.387,688,23600,0.028999999999999998,18,1.31,47.6
145,0.474,714,21700,0.033,20,1.2,51.1
147,0.469,558,19600,0.027999999999999997,21,1.26,50.8
152,0.466,679,21400,0.032,19,1.17,44.3
154,0.44,560,21100,0.027000000000000003,17,1.13,63.6
161,0.27699999999999997,630,20200,0.031,19,1.92,33.0
166,0.3,128,3300,0.039,17,1.62,34.4
168,0.271,151,5700,0.026000000000000002,17,1.82,52.8
174,0.331,450,18800,0.024,17,1.45,45.4
175,0.38299999999999995,385,19600,0.02,15,1.12,58.6
180,0.491,154,5500,0.027999999999999997,17,0.96,49.9
182,0.469,151,6400,0.024,16,0.99,46.4
187,0.546,459,18900,0.024,17,0.9,56.3
189,0.537,433,18600,0.023,16,0.86,59.8
194,0.7659999999999999,597,20400,0.028999999999999998,21,0.78,65.3
196,0.43700000000000006,610,20500,0.03,17,1.11,58.6
203,0.569,676,20200,0.033,23,1.16,60.6
209,0.574,676,20200,0.033,20,0.99,57.4
210,0.754,676,20200,0.033,24,0.9,59.5
215,0.654,676,20200,0.033,22,0.97,62.3
217,0.531,676,20200,0.033,22,1.18,52.4
222,0.469,676,20200,0.033,18,1.1,45.0
224,0.5489999999999999,676,20200,0.033,21,1.1,60.9
228,0.677,210,7300,0.028999999999999998,23,0.99,59.8
229,0.5489999999999999,219,6400,0.034,24,1.23,55.4
231,0.5660000000000001,180,6100,0.03,22,1.13,58.7
235,0.271,167,7000,0.024,26,2.77,20.4
236,0.45399999999999996,211,5500,0.038,23,1.44,53.2
242,0.726,276,8000,0.034,30,1.19,66.3
243,0.934,304,6600,0.046,30,0.93,76.9
245,0.9059999999999999,614,11500,0.053,30,0.94,69.4
249,0.986,666,11500,0.057999999999999996,36,1.03,73.9
250,0.7290000000000001,594,11500,0.052000000000000005,31,1.22,62.2
252,0.7,613,11500,0.053,30,1.21,79.0
256,0.96,459,11500,0.04,34,1.02,74.3
